class overall buried surface lipid_facing interfacial aqueous efxn
special 0.344 0.317 0.382 0.143 0.265 0.466 m12_humans
aromatic 0.066 0.097 0.013 0.0 0.0 0.031 m12_humans
charged 0.321 0.156 0.416 0.077 0.492 0.414 m12_humans
polar 0.257 0.387 0.21 0.033 0.211 0.252 m12_ecoli
nonpolar 0.302 0.345 0.223 0.36 0.238 0.129 m12_ecoli
special 0.465 0.52 0.482 0.378 0.373 0.52 m12_ecoli
aromatic 0.1 0.098 0.058 0.087 0.14 0.023 m12_ecoli
charged 0.195 0.098 0.264 0.007 0.225 0.311 m12_ecoli
polar 0.333 0.428 0.26 0.128 0.14 0.304 m12_archaea
nonpolar 0.293 0.288 0.243 0.342 0.271 0.153 m12_archaea
special 0.418 0.481 0.402 0.167 0.5 0.404 m12_archaea
aromatic 0.113 0.142 0.036 0.079 0.037 0.0 m12_archaea
charged 0.24 0.127 0.288 0.0 0.279 0.307 m12_archaea
polar 0.179 0.251 0.139 0.064 0.183 0.151 m18_ecoli_DOPC_37
nonpolar 0.414 0.552 0.204 0.291 0.239 0.149 m18_ecoli_DOPC_37
special 0.554 0.602 0.602 0.589 0.591 0.607 m18_ecoli_DOPC_37
aromatic 0.216 0.189 0.149 0.215 0.115 0.121 m18_ecoli_DOPC_37
charged 0.134 0.158 0.139 0.064 0.084 0.162 m18_ecoli_DOPC_37
polar 0.167 0.172 0.142 0.043 0.176 0.156 m18_humans_DLPC_37
nonpolar 0.345 0.441 0.191 0.197 0.282 0.139 m18_humans_DLPC_37
special 0.436 0.415 0.516 0.182 0.375 0.589 m18_humans_DLPC_37
aromatic 0.161 0.208 0.076 0.089 0.058 0.083 m18_humans_DLPC_37
charged 0.138 0.044 0.178 0.0 0.152 0.185 m18_humans_DLPC_37
polar 0.185 0.263 0.122 0.059 0.144 0.134 m18_ecoli_DLPE_37
nonpolar 0.422 0.569 0.212 0.283 0.293 0.141 m18_ecoli_DLPE_37
special 0.551 0.597 0.608 0.595 0.51 0.625 m18_ecoli_DLPE_37
aromatic 0.215 0.212 0.159 0.238 0.16 0.114 m18_ecoli_DLPE_37
charged 0.147 0.14 0.161 0.067 0.09 0.186 m18_ecoli_DLPE_37
polar 0.115 0.162 0.068 0.041 0.076 0.071 m07_bacteria
nonpolar 0.442 0.54 0.285 0.346 0.315 0.249 m07_bacteria
special 0.522 0.599 0.47 0.376 0.51 0.483 m07_bacteria
aromatic 0.081 0.11 0.041 0.018 0.063 0.048 m07_bacteria
charged 0.041 0.05 0.035 0.0 0.022 0.04 m07_bacteria
polar 0.18 0.189 0.146 0.024 0.154 0.164 m18_humans_DMPC_37
nonpolar 0.355 0.497 0.162 0.198 0.15 0.141 m18_humans_DMPC_37
special 0.432 0.415 0.498 0.192 0.4 0.565 m18_humans_DMPC_37
aromatic 0.174 0.222 0.076 0.1 0.05 0.075 m18_humans_DMPC_37
charged 0.139 0.078 0.167 0.0 0.089 0.178 m18_humans_DMPC_37
polar 0.202 0.233 0.157 0.018 0.144 0.179 m18_eukaryotes_DLPC_37
nonpolar 0.377 0.521 0.181 0.255 0.196 0.107 m18_eukaryotes_DLPC_37
special 0.447 0.49 0.471 0.13 0.382 0.53 m18_eukaryotes_DLPC_37
aromatic 0.191 0.219 0.125 0.123 0.133 0.12 m18_eukaryotes_DLPC_37
charged 0.151 0.11 0.163 0.0 0.099 0.177 m18_eukaryotes_DLPC_37
polar 0.241 0.265 0.205 0.383 0.211 0.176 r15_archaea
nonpolar 0.376 0.532 0.054 0.053 0.043 0.058 r15_archaea
special 0.502 0.556 0.489 0.222 0.605 0.49 r15_archaea
aromatic 0.175 0.201 0.053 0.048 0.074 0.051 r15_archaea
charged 0.169 0.111 0.206 0.083 0.279 0.202 r15_archaea
