class overall buried surface lipid_facing interfacial aqueous efxn
nonpolar 1.049 0.924 -1.349 -1.191 -0.495 -1.504 m18_ecoli_DOPC
special -0.318 -0.564 -0.664 -12.892 12.203 11.396 m18_ecoli_DOPC
aromatic -0.196 -0.889 -0.433 -0.097 -0.554 -0.576 m18_ecoli_DOPC
charged -0.957 -3.208 -0.268 -3.452 -16.559 0.447 m18_ecoli_DOPC
polar 3.958 6.101 0.968 -1.823 2.103 1.221 m12_humans
nonpolar -7.869 -10.551 -23.199 -30.098 -43.63 -35.128 m12_humans
special -18.766 -18.151 -16.901 -16.429 -15.618 -15.818 m12_humans
aromatic -8.611 -18.606 -34.003 -43.373 -41.08 -31.351 m12_humans
charged 1.447 1.147 -0.006 -7.461 1.681 -0.413 m12_humans
polar -0.605 -0.987 -0.264 -25.925 0.095 0.03 m18_humans_POPC
nonpolar 0.946 1.278 -2.531 -2.931 -0.995 -3.329 m18_humans_POPC
special -1.326 -1.391 -1.844 -13.961 -1.05 -0.998 m18_humans_POPC
aromatic -0.562 -1.42 -0.378 -0.174 -0.141 -1.235 m18_humans_POPC
charged -1.448 -3.58 -0.55 -23.97 -15.744 0.079 m18_humans_POPC
polar 3.52 5.714 0.694 -0.882 1.27 0.853 m12_ecoli
nonpolar -5.649 -10.723 -6.235 -16.563 -7.374 -6.191 m12_ecoli
special -19.452 -18.63 -17.236 -27.86 -3.309 -4.452 m12_ecoli
aromatic -8.774 -7.738 -36.446 -33.103 -43.225 -35.778 m12_ecoli
charged 0.115 -0.475 -1.429 -1.406 -13.577 -1.143 m12_ecoli
polar -0.713 -1.632 -0.433 -3.209 -1.948 -0.083 m18_eukaryotes_DLPC
nonpolar 1.21 1.336 -1.539 -2.218 -0.672 -1.849 m18_eukaryotes_DLPC
special -1.535 -1.427 -3.002 -14.794 -2.2 -2.748 m18_eukaryotes_DLPC
aromatic -0.654 -1.541 -0.564 0.368 -0.689 -1.476 m18_eukaryotes_DLPC
charged -1.695 -5.507 -0.356 -2.999 -2.485 0.019 m18_eukaryotes_DLPC
polar 5.459 7.23 1.735 1.155 1.787 1.874 m12_archaea
nonpolar -7.328 -10.921 -8.729 -18.177 -28.558 -20.027 m12_archaea
special -18.162 -16.578 -16.699 -14.845 -14.809 -16.357 m12_archaea
aromatic -9.372 -8.094 -22.584 -43.166 -39.183 -20.342 m12_archaea
charged 0.25 -0.564 -1.488 -23.146 -12.139 -1.165 m12_archaea
polar 3.835 4.92 2.564 2.899 2.616 2.529 m07_bacteria
nonpolar -4.224 -10.445 -0.773 -0.536 -1.436 -0.651 m07_bacteria
special -18.812 -18.305 -15.841 -15.214 -13.487 -14.855 m07_bacteria
aromatic -9.685 -9.778 -11.579 -25.795 -23.018 -10.677 m07_bacteria
charged -0.487 2.535 -4.336 -3.479 -3.794 -4.546 m07_bacteria
